title,ingredients_processed,directions,NER,link,vegetarian,gluten_free,nut_free,shellfish_free
Bob's Stuffed Banana Peppers,"8 banana peppers. 2 tablespoons butter. 1/2 cup chopped onion. 1/2 cup chopped celery. 1 (28 ounce) can crushed tomatoes. 1 (8 ounce) can tomato sauce. 2 cloves garlic, minced. 1 teaspoon dried basil. 1 teaspoon dried oregano. 2 1/2 teaspoons salt, divided. 1/2 teaspoon ground black pepper, divided. 1 egg. 1 teaspoon Worcestershire sauce. 1/2 cup grated Parmesan cheese. 1 pound hot Italian sausage. 1 pound mild Italian sausage. 1 1/2 cups bread crumbs. ","Cut off tops of peppers, and remove ribs and seeds. Chop edible portions of tops; set aside. Bring a large pot of salted water to a boil. Add peppers, reduce heat, and simmer until tender but still firm, about 5 minutes. Drain and set aside. Heat butter in a medium skillet. Saute reserved chopped pepper, onion and celery until tender, 3 to 5 minutes. Stir in crushed tomatoes, tomato sauce and garlic. Season with basil, oregano, 1 1/2 teaspoons salt and 1/4 teaspoon pepper. Simmer uncovered for 10 minutes. Preheat oven to 350 degrees F (175 degrees C). Meanwhile, in a large mixing bowl, combine egg, 1 teaspoon salt, 1/4 teaspoon pepper, Worcestershire sauce and Parmesan. Mix in hot sausage, mild sausage, bread crumbs and 1 cup of the tomato sauce mixture. Using a piping bag or sausage stuffer, fill each pepper with the meat mixture. Place in a 3 quart casserole dish, and pour remaining tomato sauce mixture over peppers. Bake uncovered in preheated oven for 1 hour. ",banana peppers. butter. onions. celery. crushed tomatoes. tomato sauce. garlic cloves. dried basil. dried oregano. salt. ground black pepper. egg. Worcestershire sauce. parmesan cheese. hot Italian sausage. mild Italian sausage. breadcrumbs. ,http://allrecipes.com/recipe/bobs-stuffed-banana-peppers/,no,no,no,yes
Atkins Broccoli Parmigiano,"2 tablespoons olive oil. 2 garlic cloves, pushed through a press. 14 teaspoon crushed red pepper flakes. 2 lbs broccoli, cut into florets, stems peeled and cut into 1/2-inch pieces. 14 cup water. 2 tablespoons fresh lemon juice. 2 teaspoons lemon zest, grated. salt. black pepper, freshly ground. 12 cup parmesan cheese, freshly grated. ","In a large, deep skillet, heat oil over medium-high heat. Add garlic and red pepper flakes; saute 30 seconds. Add broccoli, water, lemon juice and lemon zest; mix well. Cover skillet and cook over medium heat 8 minutes, until broccoli is crisp-tender. Season to taste with salt and pepper. Transfer broccoli to a serving dish and sprinkle with parmesan. ",olive oil. garlic cloves. crushed red pepper flakes. broccoli. water. fresh lemon juice. lemon zest. salt. black pepper. parmesan cheese. ,http://www.food.com/recipe/atkins-broccoli-parmigiano-361091,yes,yes,no,no
Cream Cheese Dainties,"12 cup margarine. 1 (3 ounce) package cream cheese. 12 cup sugar. 14 teaspoon almond extract. 1 cup flour. 2 teaspoons baking powder. 14 teaspoon salt. 1 12 cups crisp rice cereal, slightly crushed. candied cherry. ","Cream together margarine, cream cheese, sugar and almond extract till light. Mix together dry ingredients and add to margarine mixture. Chill 1-2 hours. Shape into balls. Roll in cereal and place on ungreased baking sheet. Top each with a cherry. Bake for 12-14 minutes at 350 degrees. Cool on racks. ",margarine. cream cheese. sugar. almond extract. flour. baking powder. salt. crisp rice cereal. candied cherries. ,http://www.food.com/recipe/cream-cheese-dainties-69635,yes,no,yes,yes
Chocolate Chip Banana Snack Cake,"3 12 cups all-purpose flour. 1 teaspoon baking powder. 1 teaspoon baking soda. 14 teaspoon salt. 2 cups granulated sugar. 12 cup butter, softened. 2 eggs. 1 cup sour cream. 2 medium bananas, mashed (about 1 cup). 1 teaspoon vanilla. 1 12 cups mini chocolate chips. ","Preheat oven to 350 degrees. Grease and flour a 13x9"" pan. Stir together the flour, baking powder, baking soda and salt in a medium bowl. Set aside. Beat the sugar and butter together until creamy. Add eggs, one at a time, until well blended. Add sour cream, banana and vanilla; mix well. On low speed, blend in flour mixture gradually until well incorporated. Stir in 1 cup of the mini chocolate chips. Pour batter into pan and sprinkle the remaining 1/2c. chocolate chips over top. Bake at 350 degrees for 40-45 minutes, or until toothpick comes out clean. ",all - purpose flour. baking powder. baking soda. salt. granulated sugar. butter. eggs. sour cream. bananas. vanilla. mini chocolate chips. ,http://www.food.com/recipe/chocolate-chip-banana-snack-cake-55843,no,no,no,yes
Extra Chewy Bakery-Style Chocolate Chip Cookies,"3/4 cups Unsalted Butter, Cold And Cut Into 1/4 Inch Slices. 3/4 cups Light Brown Sugar, Loosely Packed. 1/2 cups Granulated Sugar. 1 whole Large Egg. 1 whole Large Egg Yolk. 2 teaspoons Vanilla Extract. 2 Tablespoons Malted Milk Powder. 1- 1/4 cup All-purpose Flour. 1- 1/4 teaspoon Cornstarch. 1 teaspoon Baking Soda. 1/2 teaspoons Salt. 1 cup Milk Chocolate Chips. ","Preheat the oven to 350 F. In a large bowl using a handheld mixer or in the bowl of your stand mixer with paddle attachment, cream the butter and sugars together on medium speed until fluffy and light in color. Mix in egg, egg yolk, and vanilla. Scrape down the sides of the bowl as needed. Add the malted milk powder and beat until combined. In a separate bowl, combine the flour, cornstarch, baking soda and salt. On low speed, slowly mix it into the wet ingredients. Stir in chocolate chips. Dough will be thick and sticky. Drop cookies onto a parchment lined baking sheet using a large cookie scoop (about 3 tablespoons), leaving plenty of space between the cookies (they spread out quite a bit). Slightly flatten cookies with the palm of your hand or do the optional step below. Bake for 12 minutes, or until the edges are golden brown. The cookies will be very flat and very chewy. Remove pan from oven. Allow cookies to cool slightly before transferring to a cooling rack. Optional: After the cookies have been baking for about 5 minutes, use a spoon and make circular motions in the top of the cookie to break up the already melted chocolate chips and flatten the cookies. Store in an airtight container for up to 5 days. ",unsalted butter. light brown sugar. granulated sugar. egg. egg yolk. vanilla extract. instant malted milk powder. all - purpose flour. cornstarch. baking soda. salt. milk chocolate chips. ,http://tastykitchen.com/recipes/desserts/extra-chewy-bakery-style-chocolate-chip-cookies/,yes,yes,yes,no
Swiss Cheese Fondue,"1 clove garlic. 1 cup dry white wine. 3 cups vegetable stock. 8 ounces Emmentaler cheese, grated. 4 ounces gruyere cheese, grated. 4 ounces etivaz cheese, grated. 4 ounces vacherin fribourgeois or fontina cheese, grated. 1 pinch nutmeg, freshly grated. 4 tablespoons cornstarch. 1/2 cup water. ","Combine cornstarch and water in a small bowl with a whisk and set aside. Rub a stainless steel pot with the garlic, then drop the clove in. Add the white wine and vegetable stock and bring to a simmer. Add the cheeses at once to the simmering wine. While stirring, melt the cheese and bring to a light simmer. Little by little, add a bit of the cornstarch slurry to the cheese until the desired consistency is achieved. Add the nutmeg, simmer the fondue for 8 minutes and serve over a low flame to keep it warm and melted. ",garlic clove. dry white wine. vegetable stock. emmenthaler cheese. gruyere cheese. cheese. Fontina cheese. nutmeg. cornstarch. water. ,http://www.foodrepublic.com/recipes/swiss-cheese-fondue-recipe/,no,no,no,no
Mushroom Pork Chops,"4 pork chops. salt and pepper to taste. 1 pinch garlic salt, or to taste. 1 onion, chopped. 1/2 pound fresh mushrooms, sliced. 1 (10.75 ounce) can condensed cream of mushroom soup. ","Season pork chops with salt, pepper, and garlic salt to taste. In a large skillet, brown the chops over medium-high heat. Add the onion and mushrooms, and saute for one minute. Pour cream of mushroom soup over chops. Cover skillet, and reduce temperature to medium-low. Simmer 20 to 30 minutes, or until chops are cooked through. ",pork chops. salt and pepper. garlic salt. onion. fresh mushrooms. condensed cream of mushroom soup. ,http://allrecipes.com/recipe/mushroom-pork-chops/,yes,yes,yes,no
Bahamian Papaya Rum Cake,"1 12 cups papayas, diced. 1 cup golden raisin. 2 tablespoons lemon juice. 12 cup rum. 4 tablespoons butter. 34 cup brown sugar. 1 cup all-purpose flour. 1 cup cake flour. 1 12 cups granulated sugar. 1 teaspoon salt. 5 teaspoons baking powder. 12 cup butter, diced. 4 eggs. 12 cup sour cream. 1 tablespoon vanilla extract. 14 cup vegetable oil. 1 lemon, zest of, only. 1 cup sweetened flaked coconut. 12 cup butter, melted. 1 cup granulated sugar. 12 cup rum. ","In a bowl, combine the diced papaya, raisins and lemon juice. Add 1/2 cup rum and allow to soak for half an hour. Spray a large 12 cup bundt pan with cooking spray and add 4 tbs melted butter and 3/4 cup brown sugar to the bottom of the pan. With a tablespoon strain 5 heaping tbs of the fruit mixture and add to the sugar mixture in the bottom of the pan. In an electric mixer blend flour, sugar, salt, baking powder and diced butter on low speed. When blended continue mixing and add the 4 eggs one at a time. Follow with the sour cream, vanilla and oil. Add the remaining fruit mixture (including the liquid), the lemon zest and coconut and blend well. Pour the batter into the bundt pan and bake in a preheated oven at 325 degrees for 1 hour. Check for doneness with a wooden pick. Remove from oven and let cool for 10 minutes. For the glaze: In a small pan on the stove, mix butter, granulated sugar and rum and bring just to a boil. Spoon the glaze onto the cake until it is completely absorbed. Cover with plastic wrap and let sit overnight. Before turning out the cake onto a serving platter, warm it in a 325 degree oven for 10 minutes to loosen the sugar mixture at the bottom of the pan. The cake will be very delicate. ",papayas. golden raisins. lemon juice. rum. butter. brown sugar. all - purpose flour. cake flour. granulated sugar. salt. baking powder. butter. eggs. sour cream. vanilla extract. vegetable oil. lemon. sweetened flaked coconut. butter. granulated sugar. rum. ,http://www.food.com/recipe/bahamian-papaya-rum-cake-161345,no,no,yes,no
Double Chocolate Surprise Brownies,"12 cup butter. 34 cup sugar. 2 large eggs. 1 teaspoon vanilla. 12 teaspoon baking powder. 12 teaspoon salt. 2 ounces nestle unsweetened chocolate, melted. 23 cup all-purpose flour. 1 (6 ounce) package semi-sweet chocolate chips. 12 cup chopped walnuts. 1 (4 ounce) packagesoftened cream cheese. 2 tablespoons butter. 14 cup sugar. 1 large egg. 12 teaspoon vanilla. 1 tablespoon flour. ","For brownies:. Cream butter& sugar until smooth. Add eggs, continuing to mix well Add vanilla Mix in the baking powder, salt and melted chocolate, stirring well. Slowly add the flour, then fold in chocolate chips and nuts. Reserve 1 cup of the mixture and pour remaining mixture into 9 X 9 square pan. Use Pam or parchment paper to line pan, for easier removal. Filling:. Whip the cream cheese and butter together. Gradually add the sugar, mixing together well. Add the egg, vanilla and then the flour mixing well Pour the cream cheese mixture over the brownie mix in the pan. Take the 1 cup of the reserve brownie mix and drop by spoonfulls over the cream cheese mixture and swirl slightly to""marble"" the brownies. Bake in a pre-heated 350 degree oven for 30-35 minutes. Let brownies cool and cut into squares to enjoy! ",butter. sugar. eggs. vanilla. baking powder. salt. unsweetened chocolate. all - purpose flour. semi - sweet chocolate chips. walnuts. cream cheese. butter. sugar. egg. vanilla. flour. ,http://www.food.com/recipe/double-chocolate-surprise-brownies-100101,no,yes,yes,no
Quinoa With Latin Flavors,"1 cup quinoa. 2 teaspoons canola oil. 1 medium onion, chopped. 1 (4 ounce) canchopped green chilies. 2 garlic cloves, minced. 1 (14 ounce) can reduced-sodium chicken broth or 1 (14 ounce) can vegetable broth. 14 cup pepitas, toasted (see Note). 34 cup fresh cilantro, coarsely chopped. 12 cup scallion, chopped. 2 tablespoons lime juice. 12 teaspoon salt. ","Heat a large dry skillet over medium heat and add quinoa, stirring to toast, until it crackles and becomes a bit brownish and aromatic. Transfer to a fine sieve and rinse under cold running water. Drain. Heat oil in a large saucepan over medium heat. Add onion and cook until softened, stirring often, about 2 or 3 minutes. Add chiles and garlic. Cook stirring for 30 seconds. Add the quinoa and broth to the onion mixture. Bring to a simmer. Reduce heat to maintain a gentle simmer, cover and cook until the quinoa is tender and most of the liquid has been absorbed, about 20 to 25 minutes. Add toasted pepitas, cilantro, scallions, lime juice and salt to the quinoa. Fluff with a fork and stir gently to mix. NOTE: Pepitas are hulled pumpkin seeds. They are somewhat green and may be found in health-food stores or Latin markets. If you can't find pepitas, I suppose shelled raw sunflower kernels would be a good substitute in this recipe. NOTE: To toast nuts, heat a small skillet over medium heat. Put nuts in the dry pan and stir or toss/flip constantly, until nuts just begin to darken a bit and become aromatic. It's easy to go from brown to burnt really quickly, so keep an eye on them. When done, remove from the heat quickly and put into a different dish that is cool. ",quinoa. canola oil. onion. green chilies. garlic cloves. reduced - sodium chicken broth. pepitas. fresh cilantro. scallions. lime juice. salt. ,http://www.food.com/recipe/quinoa-with-latin-flavors-228500,yes,yes,no,no
